held_out_battery,selected_n0,selected_model,inner_best_n0,inner_best_model,inner_one_SE_threshold,outer_MAE,outer_MSE,outer_RMSE,outer_E200,outer_eol_relative_update
1,31,centered_quadratic,31,power,1.426677659352269e-07,0.0013962226206999252,3.1464976903127357e-06,0.0017738369965452675,0.0037046393527840893,0.089121492173632
3,31,centered_quadratic,31,power,2.5034605282841383e-07,0.0003349652052044361,1.68336415705575e-07,0.0004102882105369042,0.0009089949972853617,0.2743307987379533
4,31,centered_quadratic,51,centered_quadratic,2.197952400075044e-07,0.0009071188931281982,9.530914431092548e-07,0.0009762640232586956,0.0012740199918175321,0.09843745380728985
6,31,centered_quadratic,31,power,2.481535485955351e-07,0.00033795401857867225,1.6381576750006156e-07,0.0004047416058426185,0.001059919934155995,0.2353243109397753
7,21,centered_quadratic,31,power,2.5286751194560464e-07,0.0006811576128477048,5.266141501389349e-07,0.0007256818518737635,0.001051614016011837,0.05103820143823386
8,31,centered_quadratic,31,power,2.443702994607696e-07,0.00033987195480841283,1.7141176446321724e-07,0.0004140190387690127,0.0007084352861239651,0.03785225093591689
12,31,centered_quadratic,31,power,2.458325247071916e-07,0.00032401434988476696,1.481933286249105e-07,0.00038495886614664494,0.0008464244365373741,2.8435930106368783
13,31,centered_quadratic,31,power,2.510122600554958e-07,0.0002683194279187351,8.937939230951778e-08,0.0002989638645547615,0.000577138673439892,2.915673216307668
15,31,centered_quadratic,31,power,2.52225592833461e-07,0.000154966639585008,3.1582307554746626e-08,0.0001777141174885851,0.0002720270903412425,0.09345241934574265
17,31,centered_quadratic,31,power,2.525120857321161e-07,0.00015211202853004257,4.127083327307061e-08,0.00020315224161468319,0.0007232958663732081,0.6501204607104389
18,31,centered_quadratic,31,power,2.5294798763663764e-07,0.0001839187101495554,4.62876451126704e-08,0.0002151456369826504,0.00039001270780358865,0.11888333610722482
19,31,centered_quadratic,31,power,2.5331388313925877e-07,7.421662644135685e-05,7.614853927384243e-09,8.726313040101325e-05,4.623588407404178e-05,0.02682806007177751
20,31,centered_quadratic,31,power,2.5246426737143135e-07,0.00014763589235658792,3.3679642594106196e-08,0.00018352014220271898,0.00019908161023418636,0.03899129729984838
21,31,centered_quadratic,31,power,2.5247106500997787e-07,0.0002561119585578542,8.549134945742068e-08,0.00029238903785439816,0.0006323710481630496,0.12874262561510197
22,31,centered_quadratic,31,power,2.523342800306869e-07,0.00017019606684223643,4.458580510609308e-08,0.00021115351075957293,0.00017909047151465352,0.7762833684658877
23,31,centered_quadratic,31,power,2.5322887694688664e-07,0.00013852238447825015,2.5385993480848422e-08,0.00015932982608679526,0.0003643592177210442,0.06316386988516934
26,31,centered_quadratic,31,power,2.5186062662043996e-07,0.00019778010689224911,6.716358198062344e-08,0.00025915937563712304,0.0004983054997625969,0.13487906452219245
27,31,centered_quadratic,31,power,2.5021896163974166e-07,0.0001577571016481505,3.0811332049209455e-08,0.00017553156995027834,0.00032528890361671614,0.8825257629941379
28,31,centered_quadratic,31,power,2.529542997500327e-07,0.00010526961997762818,1.9149482654504525e-08,0.0001383816557730992,0.0002573487025407939,0.4644854187659669
29,31,centered_quadratic,31,power,2.5314964806298813e-07,9.177788351995453e-05,1.2163394003818019e-08,0.00011028777812531186,9.468473417117984e-05,0.0036083780614931944
30,31,centered_quadratic,31,power,2.523878120117389e-07,0.00044547594165808666,2.2556709730791366e-07,0.0004749390458868524,0.0005967341709554042,0.020554063730425315
31,31,centered_quadratic,31,power,2.4647972300587483e-07,0.0002122668883411638,5.904738697914035e-08,0.00024299668100437164,0.00022560297082963032,0.06506269846365656
32,31,centered_quadratic,31,power,2.411681372033626e-07,0.00047266128016090205,2.893431251425596e-07,0.000537906241962816,0.0005337869200531253,0.2049541066407446
33,31,centered_quadratic,31,power,2.5247747628362406e-07,0.00019592831201624693,5.0994098392866e-08,0.00022581872905688314,9.668934044637645e-05,0.08593287636444918
34,31,centered_quadratic,31,power,2.4718327593329594e-07,0.0004587102855941749,2.612036275405714e-07,0.0005110808424707107,0.000532416818307957,0.18094147874977076
35,21,centered_quadratic,31,power,2.2982280619856654e-07,0.0011580944485800849,1.7384776623340071e-06,0.001318513428954748,0.0022683591535023195,0.1750118440950075
36,31,centered_quadratic,31,power,2.530787112168404e-07,9.862377060024574e-05,1.516377837978648e-08,0.00012314129437271024,0.0002002262068836469,0.03327149733541728
37,31,centered_quadratic,31,power,2.527202677896157e-07,0.00019876611492473774,5.9772152031378e-08,0.0002444834391761086,0.0003830626357615996,0.20150986404857144
38,31,centered_quadratic,31,power,2.5276789135331584e-07,0.0001995166426789141,5.63375753645149e-08,0.00023735537778722204,0.00042935363814189387,0.23057080754467785
39,31,centered_quadratic,31,power,2.5276381790855334e-07,0.00011847074675866098,1.9645797412348252e-08,0.0001401634667534599,0.000205890289796562,0.17360276890094126
40,31,centered_quadratic,31,power,2.533423838673373e-07,6.443614163534895e-05,5.7654500647214676e-09,7.593056080868538e-05,4.7644684487258004e-05,0.003552088605283401
41,31,centered_quadratic,31,power,2.518763215968766e-07,0.0002803598138419261,1.0619235381260013e-07,0.00032587168304809816,0.0004606760797947196,0.2335078680545615
42,31,centered_quadratic,31,power,2.5330304082527213e-07,0.00012034867341577549,1.7302488856362534e-08,0.0001315389252516628,0.00020921548001284762,0.1164379694015222
43,31,centered_quadratic,31,power,2.521217288849344e-07,0.0002600927481800719,9.542302256601758e-08,0.0003089061711361843,0.0005824893215331528,0.26720205456950274
44,31,centered_quadratic,31,power,2.533394309589703e-07,6.739929809950196e-05,6.0272798954396845e-09,7.763555818978623e-05,6.92891243725402e-06,0.01462909946351443
45,31,centered_quadratic,31,power,2.520086061719679e-07,0.0001259793254106123,2.13528354980436e-08,0.00014612609451444188,0.0001542527932385518,0.0609304567185137
46,31,centered_quadratic,31,power,2.5307726599615063e-07,0.00010259977809382593,1.5745730441115093e-08,0.00012548199249739022,0.00034165356759252585,0.06179319786459323
