battery_id,variable,candidate_count,repaired_count
1,capacity,1,1
1,IR,1,1
1,Tavg,0,0
1,chargetime,0,0
2,capacity,0,0
2,IR,1,1
2,Tavg,0,0
2,chargetime,0,0
3,capacity,0,0
3,IR,1,1
3,Tavg,0,0
3,chargetime,0,0
4,capacity,0,0
4,IR,1,1
4,Tavg,0,0
4,chargetime,4,0
5,capacity,0,0
5,IR,2,2
5,Tavg,0,0
5,chargetime,0,0
6,capacity,0,0
6,IR,1,1
6,Tavg,0,0
6,chargetime,0,0
7,capacity,0,0
7,IR,2,2
7,Tavg,0,0
7,chargetime,0,0
8,capacity,0,0
8,IR,0,0
8,Tavg,0,0
8,chargetime,13,0
9,capacity,0,0
9,IR,0,0
9,Tavg,0,0
9,chargetime,0,0
10,capacity,0,0
10,IR,0,0
10,Tavg,0,0
10,chargetime,0,0
11,capacity,0,0
11,IR,0,0
11,Tavg,0,0
11,chargetime,0,0
12,capacity,0,0
12,IR,0,0
12,Tavg,0,0
12,chargetime,0,0
13,capacity,0,0
13,IR,0,0
13,Tavg,0,0
13,chargetime,0,0
14,capacity,0,0
14,IR,0,0
14,Tavg,0,0
14,chargetime,0,0
15,capacity,0,0
15,IR,0,0
15,Tavg,0,0
15,chargetime,0,0
16,capacity,0,0
16,IR,0,0
16,Tavg,0,0
16,chargetime,0,0
17,capacity,0,0
17,IR,0,0
17,Tavg,0,0
17,chargetime,0,0
18,capacity,0,0
18,IR,0,0
18,Tavg,0,0
18,chargetime,0,0
19,capacity,0,0
19,IR,0,0
19,Tavg,0,0
19,chargetime,0,0
20,capacity,0,0
20,IR,0,0
20,Tavg,0,0
20,chargetime,0,0
21,capacity,0,0
21,IR,0,0
21,Tavg,0,0
21,chargetime,0,0
22,capacity,0,0
22,IR,0,0
22,Tavg,0,0
22,chargetime,0,0
23,capacity,0,0
23,IR,0,0
23,Tavg,0,0
23,chargetime,0,0
24,capacity,0,0
24,IR,0,0
24,Tavg,0,0
24,chargetime,0,0
25,capacity,0,0
25,IR,0,0
25,Tavg,0,0
25,chargetime,0,0
26,capacity,0,0
26,IR,1,1
26,Tavg,0,0
26,chargetime,0,0
27,capacity,0,0
27,IR,0,0
27,Tavg,0,0
27,chargetime,0,0
28,capacity,0,0
28,IR,1,1
28,Tavg,0,0
28,chargetime,0,0
29,capacity,0,0
29,IR,0,0
29,Tavg,0,0
29,chargetime,0,0
30,capacity,0,0
30,IR,0,0
30,Tavg,0,0
30,chargetime,0,0
31,capacity,0,0
31,IR,0,0
31,Tavg,0,0
31,chargetime,0,0
32,capacity,0,0
32,IR,0,0
32,Tavg,0,0
32,chargetime,0,0
33,capacity,0,0
33,IR,0,0
33,Tavg,0,0
33,chargetime,0,0
34,capacity,0,0
34,IR,0,0
34,Tavg,0,0
34,chargetime,0,0
35,capacity,0,0
35,IR,0,0
35,Tavg,0,0
35,chargetime,0,0
36,capacity,0,0
36,IR,0,0
36,Tavg,0,0
36,chargetime,0,0
37,capacity,0,0
37,IR,0,0
37,Tavg,0,0
37,chargetime,0,0
38,capacity,0,0
38,IR,0,0
38,Tavg,0,0
38,chargetime,0,0
39,capacity,0,0
39,IR,0,0
39,Tavg,0,0
39,chargetime,0,0
40,capacity,0,0
40,IR,0,0
40,Tavg,0,0
40,chargetime,0,0
41,capacity,0,0
41,IR,4,2
41,Tavg,4,3
41,chargetime,0,0
42,capacity,0,0
42,IR,0,0
42,Tavg,0,0
42,chargetime,0,0
43,capacity,0,0
43,IR,0,0
43,Tavg,0,0
43,chargetime,0,0
44,capacity,0,0
44,IR,0,0
44,Tavg,0,0
44,chargetime,0,0
45,capacity,0,0
45,IR,2,2
45,Tavg,0,0
45,chargetime,0,0
46,capacity,0,0
46,IR,1,1
46,Tavg,0,0
46,chargetime,0,0
47,capacity,0,0
47,IR,0,0
47,Tavg,0,0
47,chargetime,0,0
48,capacity,0,0
48,IR,0,0
48,Tavg,0,0
48,chargetime,0,0
49,capacity,0,0
49,IR,0,0
49,Tavg,0,0
49,chargetime,0,0
