battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,charge_time_150,SOH150,SOH_global_slope,SOH_AUC,IR_rel_slope,IR_rel_150,Tavg_150,Tavg_slope,charge_slope,life_150,model_a_150,model_b_150,model_c_150,SOH_stable_slope,b_at_lower_bound,c_near_bound,SOH_slope,stable_rate,selected_n0,selected_model,life_200_ref,life_abs_diff_150_200,life_rel_diff_150_200,candidate_count,finite_eol_count,structural_life_min,structural_life_median,structural_life_max,structural_relative_span
1,1,1,1,3_6C-80PER_3_6C,3.6,80,3.6,1.0706892,13.4086513554808,0.0168063184861228,31.9552510590903,0,13.357899166666549,1.0030278414434992,-1.224232895206325e-05,1.0045351184820979,6.408374707549789e-05,1.0057711150065303,31.5558437149574,-0.0007336877030595004,-0.0,1069.8112311972188,1.005597011804466,1.1845609556686408e-10,1.9052118124618728e-07,-1.9712979025032244e-05,False,False,-1.9712979025032244e-05,1.9712979025032244e-05,31,centered_quadratic,982.2698742838348,87.54135691338399,0.08912149217363477,15,15,410.94859754049656,1069.8112311972188,15562.554233650202,14.16287770614788
2,2,1,2,3_6C-80PER_3_6C,3.6,80,3.6,1.0845895,13.3700453282399,0.0171016934490662,31.5492130949076,1,13.341709999999651,0.9953253473035026,-1.767042353980249e-05,0.9965520969274563,6.838414351389281e-05,1.009798500520748,31.2336181651003,-0.0015121516283860947,-9.27653016131242e-15,1709.068279433165,0.9976094470081692,1.242538126193409e-05,6.277139933277013e-08,-1.995658197445164e-05,False,False,-1.995658197445164e-05,1.995658197445164e-05,31,centered_quadratic,,,,15,15,1492.610130838567,2480.493832707956,11099.057148749873,3.87279617116562
3,3,1,3,3_6C-80PER_3_6C,3.6,80,3.6,1.0880535,13.3673534835601,0.016982372835034,31.7545236474274,0,13.34156916666665,0.9962350118952357,-1.2809858441239905e-05,0.9972402678763137,8.175164441324863e-05,1.0129757352631357,31.390729002319652,-0.0014415771659079723,3.546097872080078e-08,1389.4625092510232,0.9980738980318811,4.386966401255755e-06,1.0410330881101259e-07,-1.7623486871805225e-05,False,False,-1.7623486871805225e-05,1.7623486871805225e-05,31,centered_quadratic,1914.73264517035,525.2701359193268,0.27433079873801103,15,15,906.5076602819893,2174.0433291387108,15084.56031651859,6.521513378417121
4,54,2,8,80PER_3_6C,,80,3.6,1.024101,13.7314586052367,0.0174045610362538,32.1000492411474,0,13.37362666666675,0.977583106744811,-0.0001507390118397301,0.9895333807448982,9.885174999262309e-05,1.0096269643568523,32.026001146029145,0.0006914864641244964,-5.074404760702882e-06,628.5331792948361,0.995971206051591,0.00011609668062612345,3.5457510433386636e-07,-0.00015857364435528862,False,False,-0.00015857364435528862,0.00015857364435528862,31,centered_quadratic,697.1598165309205,68.62663723608432,0.09843745380732309,15,15,551.8246067894779,759.287781363815,1312.5099190469552,1.0018405813025888
5,55,2,9,80PER_3_6C,,80,3.6,1.0322267,13.6804953856609,0.0173730390550459,32.1549737009787,1,13.3420233333333,0.9963767149131175,-2.0244127707149673e-05,0.9982549515033518,5.74304663297564e-05,1.0068458598155723,32.06654059240045,-0.0008040362584402772,-6.741573022475159e-07,1114.386561471108,0.9994214538543673,7.69819196367534e-06,1.6279886808777553e-07,-2.717764503790374e-05,False,False,-2.717764503790374e-05,2.717764503790374e-05,31,centered_quadratic,,,,15,15,815.940980754511,1114.386561471108,8869.042862020473,7.226488688660258
6,56,2,10,80PER_3_6C,,80,3.6,1.0364138,14.828321327044,0.0174475447896226,32.2245966251458,0,13.34164333333335,0.9963382486316276,-2.297005775924621e-05,0.9981735338239618,7.758298620073184e-05,1.0117196711605994,32.504978560981,-0.001274294817674988,9.677419376438048e-07,1548.3687580287472,0.999431122342208,1.7809202109760458e-05,7.488160194072233e-08,-2.681685498694855e-05,False,False,-2.681685498694855e-05,2.681685498694855e-05,31,centered_quadratic,1253.41073944454,294.95801858420714,0.23532431093970071,15,15,1282.053317499479,2042.8636300224223,8419.61852181117,3.493901942066172
7,71,2,25,4_8C_80PER_4_8C,4.8,80,4.8,1.0734261,12.9231478085242,0.0178100875916031,30.0982203551668,0,10.0538083333334,0.9951114256615228,-2.961085985550644e-05,0.9979456310274223,6.90309362264869e-05,0.9946182480589862,30.06855558506535,-9.913433279139992e-05,3.518518466805176e-06,807.862812936595,0.9994449715127037,5.385422645317133e-10,3.3047112135956137e-07,-4.062401809787153e-05,False,False,-4.062401809787153e-05,4.062401809787153e-05,31,centered_quadratic,787.6249299642377,20.237882972357284,0.02569482275437395,15,15,493.5324271337144,851.4829734685753,6734.823816861916,7.329907448770075
8,72,2,26,4_8C_80PER_4_8C,4.8,80,4.8,1.0721645,13.2409229226557,0.0178863115523614,29.5184064262147,0,10.092553333333349,0.990211936946614,-6.637197773446956e-05,0.996617355948405,-5.682106689075432e-05,0.978543159788457,29.4407859777365,-0.008138366067415869,0.00022697183097887406,612.2447017526937,0.999788725781283,1.8822746304920146e-05,5.58977870842043e-07,-8.487886412842494e-05,False,False,-8.487886412842494e-05,8.487886412842494e-05,31,centered_quadratic,636.3312727678513,24.086571015157574,0.037852250935881515,15,15,524.4299208205441,612.2447017526937,2792.3356724721452,3.704247248133288
9,73,2,27,4_8C_80PER_4_8C,4.8,80,4.8,1.0825263,13.1452157864793,0.0182922469518072,32.2842284021125,1,10.021360000000001,0.9895458114665368,-7.617427665328654e-05,0.9962385923463837,-8.517934566483578e-05,0.9764795269935791,31.74017447204755,0.00259383193539889,8.432489451644745e-05,640.26791983904,0.9999823151220885,3.5988915406110656e-05,4.796656111519552e-07,-9.377881193558992e-05,False,False,-9.377881193558992e-05,9.377881193558992e-05,31,centered_quadratic,,,,15,15,571.7281164842633,660.2923620531158,2542.2955592240105,2.9843862446211804
10,95,3,1,5C_67PER_4C_NEWSTRUCTURE,5.0,67,4.0,1.0713712,10.1554366633597,0.0153010837331349,33.1015310495823,1,10.04228,0.9972078140184412,-1.9902417689486385e-05,0.9986205835985107,3.7336811997169816e-06,0.9947616847506421,32.2305393899055,0.002996357863715323,-4.576271189835198e-06,2842.8649272267694,0.9998552757968374,2.0840169210512545e-05,1.7865557151420507e-08,-2.3068040124710774e-05,False,False,-2.3068040124710774e-05,2.3068040124710774e-05,31,centered_quadratic,,,,15,15,1336.5307931076977,5002.902469271308,10340.541784813358,1.7997574502021283
