n0,model,mean_battery_MSE,SE_battery_MSE,pooled_MAE,pooled_RMSE,MAE_pp,RMSE_pp,median_battery_MAE,median_E200,failure_count,nonfinite_eol_count,b_lower_bound_count,c_near_bound_count,boundary_count,median_eol_relative_update,mean_eol_relative_update,eol_spearman_150_200,life_median,life_log_SD,c_median,c_IQR,best_candidate,one_SE_threshold,eligible_one_SE,selected_one_SE
11,centered_quadratic,3.3511174625874344e-07,1.3435382079772858e-07,0.00035771306082293394,0.0005788883711552197,0.0357713060822934,0.057888837115521966,0.00024961982802304105,0.0005090396544237263,0,0,11,0,15,0.08477032371421038,0.10499440957375764,0.8761726078799251,1325.193367081673,0.322200337331268,1.1240944827575972e-07,8.131354683575267e-08,False,2.4734287551597165e-07,False,False
11,linear,1.5733433556128824e-06,5.457315488557863e-07,0.0008828000240844694,0.0012543298432282006,0.08828000240844694,0.12543298432282005,0.0007755316477591966,0.0010660861182553716,0,0,0,0,0,0.22038069952024084,0.26900195434238566,0.95422138836773,8781.983772861975,0.712524744657518,1.0,0.0,False,2.4734287551597165e-07,False,False
11,power,4.955160628549719e-07,1.3469787303277369e-07,0.0004628384554479415,0.0007039290183356358,0.04628384554479415,0.07039290183356359,0.00033120574223220343,0.0006836975475638107,0,0,1,0,1,0.21067418344420574,0.23143258190365418,0.926454033771107,1190.3853116682496,0.6262030579986713,1.9144079223666521,0.9052131876586345,False,2.4734287551597165e-07,False,False
21,centered_quadratic,2.5599027816141156e-07,9.828403376157478e-08,0.00030921527196178247,0.0005059548183004206,0.030921527196178248,0.050595481830042054,0.00021337587824566404,0.00045597608935044054,0,0,4,0,5,0.0948085442177066,0.16784508793003144,0.8724202626641653,1333.6203918243177,0.4674874181854725,1.0294286933414444e-07,8.009600830385244e-08,False,2.4734287551597165e-07,False,False
21,linear,1.1569900125809035e-06,4.276176931237525e-07,0.0007144069476172542,0.0010756347022018691,0.07144069476172542,0.10756347022018692,0.0006011137492140395,0.0009048024651492903,0,0,0,0,0,0.17960358443381297,0.19842505451730505,0.9666041275797375,8003.532731013425,0.6697738491568593,1.0,0.0,False,2.4734287551597165e-07,False,False
21,power,2.353868320252701e-07,7.43919030602869e-08,0.00031652312062915844,0.0004851668084538246,0.03165231206291584,0.04851668084538246,0.00022661549271380752,0.0004654378578584639,0,0,0,0,0,0.19765919132785065,0.22952626033341383,0.9200750469043153,1491.4632314803848,0.6861848910601696,1.6770496204132512,0.857230957126998,False,2.4734287551597165e-07,True,False
31,centered_quadratic,2.057448097636456e-07,8.579780574499653e-08,0.00027381902914707447,0.000453591015964432,0.02738190291470745,0.0453591015964432,0.00018992351108283457,0.0003865376717823721,0,0,1,0,2,0.11766065275430695,0.3066017282004931,0.8472795497185742,1427.0751506716442,0.609683732775967,8.441397886660181e-08,7.200678987435285e-08,False,2.4734287551597165e-07,True,True
31,linear,9.10275390801763e-07,3.5304520974740995e-07,0.0006014926837552643,0.0009540835344988211,0.060149268375526435,0.0954083534498821,0.000494958908286991,0.0007402713048507148,0,0,0,0,0,0.1475722487514396,0.16612198740340803,0.9656660412757976,7501.504315425253,0.6455973922654893,1.0,0.0,False,2.4734287551597165e-07,False,False
31,power,1.787489026440517e-07,6.859397287191996e-08,0.0002684086502927442,0.0004227870653698522,0.02684086502927442,0.04227870653698522,0.00018393765726007372,0.00037021749902266254,0,0,0,0,0,0.19738422602882436,0.4622777483879357,0.8851782363977486,1863.3958756752359,0.8728140749753086,1.5392481678370218,0.7069861229285364,True,2.4734287551597165e-07,True,False
41,centered_quadratic,1.9975467789924456e-07,8.068411545686314e-08,0.00026629041067045,0.0004469392328932923,0.026629041067044997,0.04469392328932923,0.00016602104695144894,0.0002880379475824757,0,0,0,0,0,0.13138367202084011,0.3138002935376697,0.8497185741088181,1572.3897054476674,0.5887496192248018,6.84931668394283e-08,9.385012649529675e-08,False,2.4734287551597165e-07,True,False
41,linear,7.3901248399621e-07,2.9124080504467327e-07,0.0005232469516383022,0.0008596583530660363,0.052324695163830225,0.08596583530660362,0.0004143476931525325,0.0006245184462884135,0,0,0,0,0,0.12676311341156749,0.15029004121083975,0.9579737335834897,7253.245891642505,0.6341048805959041,1.0,0.0,False,2.4734287551597165e-07,False,False
41,power,1.8297405538691157e-07,7.04490009752253e-08,0.00026743643801842396,0.0004277546672882852,0.026743643801842396,0.04277546672882852,0.00015542338803730126,0.0003124682829513392,0,0,0,0,0,0.2169808928598377,0.7057613914973839,0.8510318949343341,2250.5975825115484,0.9263602190062232,1.4593582681718207,0.7737219813302061,False,2.4734287551597165e-07,True,False
51,centered_quadratic,2.3191523105287242e-07,1.0593318752395317e-07,0.0002718375154889539,0.0004815757791385198,0.02718375154889539,0.04815757791385198,0.0001645396429947843,0.000282663523943405,0,1,0,3,3,0.19998581102847732,0.5470389206555325,0.8259109311740891,1723.2589082015463,0.7305329629466277,4.104083306670856e-08,8.621005219178232e-08,False,2.4734287551597165e-07,True,False
51,linear,6.194937593052499e-07,2.4571109340922527e-07,0.00046461673040663085,0.0007870792585916935,0.046461673040663086,0.07870792585916934,0.00035608359453899175,0.000581807483129082,0,0,0,0,0,0.11212000510091899,0.13978692160955922,0.9675422138836773,7303.139322692241,0.6255621279656172,1.0,0.0,False,2.4734287551597165e-07,False,False
51,power,2.3388106731161731e-07,9.308448843540736e-08,0.00029402589206395277,0.00048361251773668693,0.029402589206395276,0.04836125177366869,0.0001938113437423439,0.0003060999575626444,0,0,0,1,1,0.3171431297905857,5181.51381755896,0.8080675422138839,3049.0195811156145,2.4157541777099643,1.2925668923885603,0.7583045224850173,False,2.4734287551597165e-07,True,False
