held_out_battery,selected_n0,selected_model,inner_best_n0,inner_best_model,inner_one_SE_threshold,MAE,MSE,RMSE,MAE_pp,RMSE_pp,E200,E200_pp
1,31,centered_quadratic,31,power,1.426678254374052e-07,0.0013962226206999252,3.146497690312807e-06,0.0017738369965452877,0.1396222620699925,0.17738369965452877,0.0037046393527840893,0.37046393527840893
3,31,centered_quadratic,31,power,2.5034608007848516e-07,0.00033496520520431616,1.6833641570549242e-07,0.0004102882105368035,0.033496520520431616,0.04102882105368035,0.0009089949972853617,0.09089949972853617
4,31,centered_quadratic,51,centered_quadratic,2.1979524000751208e-07,0.0009071188931282115,9.530914431092906e-07,0.0009762640232587139,0.09071188931282115,0.09762640232587139,0.001274019991817421,0.1274019991817421
6,31,centered_quadratic,31,power,2.4815357190250793e-07,0.0003379540185793828,1.6381576750054593e-07,0.00040474160584321687,0.03379540185793828,0.04047416058432168,0.0010599199341565502,0.10599199341565502
7,21,centered_quadratic,31,power,2.5286752982097525e-07,0.0006811576128476804,5.266141501389011e-07,0.0007256818518737402,0.06811576128476804,0.07256818518737403,0.001051614016011726,0.1051614016011726
8,31,centered_quadratic,31,power,2.443703311681749e-07,0.00033987195480821963,1.7141176446303645e-07,0.0004140190387687944,0.03398719548082196,0.04140190387687944,0.000708435286123632,0.0708435286123632
12,31,centered_quadratic,31,power,2.4583252999182903e-07,0.0003240143498847292,1.4819332862487845e-07,0.0003849588661466033,0.03240143498847292,0.03849588661466033,0.0008464244365374851,0.08464244365374851
13,31,centered_quadratic,31,power,2.510122538834801e-07,0.0002683194279186685,8.937939230946453e-08,0.00029896386455467244,0.026831942791866847,0.029896386455467244,0.000577138673439781,0.0577138673439781
15,31,centered_quadratic,31,power,2.5222560204206187e-07,0.00015496663958502354,3.1582307554747685e-08,0.00017771411748858807,0.015496663958502355,0.017771411748858806,0.0002720270903412425,0.02720270903412425
17,31,centered_quadratic,31,power,2.5251210811794055e-07,0.00015211202853020688,4.1270833273153404e-08,0.00020315224161488696,0.015211202853020689,0.020315224161488697,0.0007232958663736522,0.07232958663736522
18,31,centered_quadratic,31,power,2.529480018452367e-07,0.0001839187101494244,4.6287645112595355e-08,0.00021514563698247602,0.01839187101494244,0.021514563698247603,0.0003900127078032556,0.03900127078032556
19,31,centered_quadratic,31,power,2.5331390112740784e-07,7.421662644136574e-05,7.614853927384913e-09,8.726313040101709e-05,0.007421662644136574,0.008726313040101708,4.623588407404178e-05,0.004623588407404178
20,31,centered_quadratic,31,power,2.524642850370299e-07,0.0001476358923565857,3.367964259410442e-08,0.00018352014220271415,0.01476358923565857,0.018352014220271416,0.00019908161023407533,0.019908161023407533
21,31,centered_quadratic,31,power,2.524710833546923e-07,0.00025611195855848037,8.54913494578129e-08,0.00029238903785506885,0.025611195855848038,0.029238903785506885,0.0006323710481641598,0.06323710481641598
22,31,centered_quadratic,31,power,2.523343002384888e-07,0.0001701960668422342,4.4585805106093365e-08,0.0002111535107595736,0.01701960668422342,0.02111535107595736,0.00017909047151465352,0.01790904715146535
23,31,centered_quadratic,31,power,2.5322889625722725e-07,0.0001385223844782546,2.538599348085029e-08,0.00015932982608680112,0.01385223844782546,0.01593298260868011,0.0003643592177210442,0.03643592177210442
26,31,centered_quadratic,31,power,2.5186066412374607e-07,0.00019778010689193383,6.716358198045757e-08,0.00025915937563680304,0.01977801068919338,0.025915937563680304,0.0004983054997620417,0.049830549976204175
27,31,centered_quadratic,31,power,2.5021898173014387e-07,0.00015775710164820823,3.0811332049229175e-08,0.0001755315699503345,0.015775710164820822,0.01755315699503345,0.00032528890361682716,0.032528890361682716
28,31,centered_quadratic,31,power,2.5295431717686687e-07,0.00010526961997761486,1.9149482654504833e-08,0.00013838165577310032,0.010526961997761486,0.013838165577310033,0.0002573487025409049,0.02573487025409049
29,31,centered_quadratic,31,power,2.531496678342351e-07,9.177788351994786e-05,1.2163394003810258e-08,0.00011028777812527668,0.009177788351994787,0.011028777812527668,9.468473417140189e-05,0.009468473417140189
30,31,centered_quadratic,31,power,2.523878305394815e-07,0.00044547594165808004,2.2556709730791197e-07,0.0004749390458868506,0.044547594165808,0.04749390458868506,0.0005967341709554042,0.059673417095540415
31,31,centered_quadratic,31,power,2.4647981381504213e-07,0.00021226688834119267,5.904738697915982e-08,0.0002429966810044117,0.021226688834119267,0.02429966810044117,0.00022560297082985237,0.022560297082985237
32,31,centered_quadratic,31,power,2.4116815108634537e-07,0.0004726612801609198,2.893431251425748e-07,0.0005379062419628302,0.04726612801609198,0.05379062419628302,0.0005337869200531253,0.053378692005312534
33,31,centered_quadratic,31,power,2.524775017340183e-07,0.0001959283120162447,5.0994098392863944e-08,0.0002258187290568786,0.019592831201624472,0.022581872905687857,9.668934044637645e-05,0.009668934044637645
34,31,centered_quadratic,31,power,2.4718328763169947e-07,0.00045871028559417047,2.6120362754056887e-07,0.0005110808424707082,0.04587102855941705,0.05110808424707082,0.0005324168183078459,0.05324168183078459
35,21,centered_quadratic,31,power,2.2982282816185835e-07,0.0011580944485801803,1.7384776623342128e-06,0.001318513428954826,0.11580944485801803,0.1318513428954826,0.0022683591535023195,0.22683591535023195
36,31,centered_quadratic,31,power,2.5307872630931555e-07,9.862377060024797e-05,1.516377837978782e-08,0.0001231412943727157,0.009862377060024796,0.01231412943727157,0.0002002262068836469,0.02002262068836469
37,31,centered_quadratic,31,power,2.527202824730867e-07,0.00019876611492470665,5.977215203136077e-08,0.00024448343917607337,0.019876611492470664,0.024448343917607338,0.0003830626357614886,0.03830626357614886
38,31,centered_quadratic,31,power,2.5276791094645243e-07,0.00019951664267900293,5.6337575364547706e-08,0.00023735537778729116,0.019951664267900293,0.023735537778729117,0.0004293536381420049,0.04293536381420049
39,31,centered_quadratic,31,power,2.52763840612759e-07,0.00011847074675866543,1.9645797412349695e-08,0.000140163466753465,0.011847074675866542,0.014016346675346502,0.000205890289796562,0.0205890289796562
40,31,centered_quadratic,31,power,2.5334240316830063e-07,6.443614163537559e-05,5.765450064728192e-09,7.593056080872965e-05,0.006443614163537559,0.007593056080872965,4.764468448614778e-05,0.004764468448614778
41,31,centered_quadratic,31,power,2.518763392942923e-07,0.00028035981384188835,1.0619235381256643e-07,0.00032587168304804644,0.028035981384188835,0.032587168304804646,0.0004606760797947196,0.04606760797947196
42,31,centered_quadratic,31,power,2.533030605017189e-07,0.00012034867341578881,1.7302488856366177e-08,0.00013153892525167665,0.012034867341578881,0.013153892525167665,0.00020921548001295864,0.020921548001295864
43,31,centered_quadratic,31,power,2.5212175710271543e-07,0.000260092748180063,9.542302256600896e-08,0.00030890617113617035,0.0260092748180063,0.030890617113617035,0.0005824893215331528,0.05824893215331528
44,31,centered_quadratic,31,power,2.533394492791877e-07,6.739929809950196e-05,6.027279895441142e-09,7.763555818979563e-05,0.006739929809950196,0.007763555818979562,6.92891243725402e-06,0.000692891243725402
45,31,centered_quadratic,31,power,2.52008624914053e-07,0.00012597932541085876,2.1352835498141472e-08,0.00014612609451477676,0.012597932541085877,0.014612609451477677,0.0001542527932391069,0.01542527932391069
