hampel_k,sg_window,capacity_floor_fraction,capacity_candidates,capacity_repaired,life_rank_spearman_vs_main,stable_rate_rank_spearman_vs_main,long_policy,short_policy
4.0,7,0.005,6,5,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,7,0.01,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,7,0.02,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,11,0.005,6,5,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,11,0.01,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,11,0.02,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,15,0.005,6,5,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,15,0.01,1,1,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
4.0,15,0.02,1,1,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,7,0.005,5,5,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,7,0.01,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,7,0.02,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,11,0.005,5,5,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,11,0.01,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,11,0.02,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,15,0.005,5,5,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,15,0.01,1,1,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
5.0,15,0.02,1,1,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,7,0.005,4,4,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,7,0.01,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,7,0.02,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,11,0.005,4,4,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,11,0.01,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,11,0.02,1,1,1.0,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,15,0.005,4,4,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,15,0.01,1,1,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
6.0,15,0.02,1,1,0.9833333333333333,1.0,4_8C_80PER_4_8C_NEWSTRUCTURE,4_8C_80PER_4_8C
