level,predictor,response,rho,p,N
battery,C1,stable_rate,0.06603591779953205,0.6628163850710973,46
battery,C1,life_150,0.2797151821325703,0.059743166601804024,46
battery,Q1,stable_rate,-0.35033827726765737,0.016990613725844296,46
battery,Q1,life_150,-0.0641606064735925,0.6718432861899568,46
battery,C2,stable_rate,0.4241123101153118,0.003310360755263169,46
battery,C2,life_150,-0.16120449976592754,0.28449693140669347,46
policy,C1,stable_rate,0.10844160586017297,0.7982604003862406,8
policy,C1,life_150,0.5422080293008649,0.16504070097268467,8
policy,Q1,stable_rate,-0.5611425419454067,0.14786012226893974,8
policy,Q1,life_150,-0.19518001458970666,0.6432255386372303,8
policy,C2,stable_rate,0.5663061639364588,0.14335405301048365,8
policy,C2,life_150,-0.10844160586017297,0.7982604003862406,8
