response,held_out_policy,observed,predicted,error,predictor_1,predictor_2,coef_1,coef_2,train_R2
stable_rate,4_8C_80PER_4_8C_NEWSTRUCTURE,1.8100960979279025e-05,2.3993123336327776e-05,5.892162357048752e-06,A,D_50,3.7085898697129886e-05,3.257601493949153e-05,0.9987409111590619
stable_rate,5_6C_19PER_4_6C_NEWSTRUCTURE,3.0645869177710385e-05,2.4510925502963608e-05,-6.134943674746777e-06,A,D_50,4.359195893175381e-05,3.0412810574442873e-05,0.9995027569318026
stable_rate,5_3C_54PER_4C_NEWSTRUCTURE,2.1684793076225122e-05,1.858206384329799e-05,-3.102729232927131e-06,A,D_50,4.3316333850826355e-05,2.805694958980757e-05,0.9984184702049507
stable_rate,5_6C_36PER_4_3C_NEWSTRUCTURE,2.7337256628576014e-05,3.2737118847229396e-05,5.3998622186533814e-06,A,D_50,4.515543928834461e-05,2.7168597079245504e-05,0.998993707071948
stable_rate,5C_67PER_4C_NEWSTRUCTURE,2.3068040124710774e-05,2.4350091379251187e-05,1.2820512545404125e-06,A,D_50,4.255300317010515e-05,3.082895747183202e-05,0.9982715469654736
stable_rate,3_7C_31PER_5_9C_NEWSTRUCTURE,0.0001925486538435195,0.00016691050672352532,-2.5638147119994167e-05,A,D_50,1.329604644613321e-05,1.184013546218862e-05,0.5946849539185224
EOL_raw,4_8C_80PER_4_8C_NEWSTRUCTURE,1775.074769975773,1600.3185786442355,-174.7561913315376,A,D_50,-165.74897831603457,-138.57153713396087,0.966743494947575
EOL_raw,5_6C_19PER_4_6C_NEWSTRUCTURE,1659.9651427339136,1629.630366709022,-30.334776024891653,A,D_50,-245.83425662293388,-83.35153544976596,0.9504266534497682
EOL_raw,5_3C_54PER_4C_NEWSTRUCTURE,1593.0990741793662,1580.2701073938329,-12.82896678553334,A,D_50,-260.8162578879263,-67.38810091498874,0.9512009805969018
EOL_raw,5_6C_36PER_4_3C_NEWSTRUCTURE,1593.0811097410713,1516.0561991642396,-77.02491057683164,A,D_50,-273.9216649974736,-54.37311729162261,0.9578241005239934
EOL_raw,5C_67PER_4C_NEWSTRUCTURE,1503.7812975135014,1680.841516042674,177.06021852917252,A,D_50,-272.84191161264744,-72.46650851149742,0.9977885445346399
EOL_raw,3_7C_31PER_5_9C_NEWSTRUCTURE,856.0584886102423,1049.3953085610988,193.33681995085647,A,D_50,-74.03071135665753,-20.060143776002676,0.3706878304178064
