s0,response,beta_low,beta_high,R2,adjusted_R2,permutation_p,permutation_exceedances,permutation_total,LOPO_MAE,LOPO_RMSE,low_positive_folds,high_positive_folds
0.4,stable_rate,8.549771313330639e-05,0.00014216973189416413,0.9928023825670433,0.9880039709450722,0.125,90,720,4.717315520162094e-05,9.924756674264088e-05,5,5
0.4,EOL_raw,-536.2836841300602,-782.3380028557364,0.9584678587335765,0.9307797645559609,0.03888888888888889,28,720,409.5901324299718,826.4487454063789,0,0
0.45,stable_rate,7.733236983134541e-05,0.00013321769399493108,0.9971483375857134,0.9952472293095224,0.06666666666666667,48,720,1.2806504591077994e-05,2.152357711787781e-05,6,6
0.45,EOL_raw,-488.4329265644644,-726.6187962137795,0.9560448904293875,0.926741484048979,0.043055555555555555,31,720,1439.0560686163783,3336.057799939511,0,0
0.5,stable_rate,7.223920566115983e-05,0.00012642182430384595,0.9982920253722248,0.9971533756203748,0.018055555555555554,13,720,7.908315976317818e-06,1.1329157036698105e-05,6,6
0.5,EOL_raw,-451.8891287931188,-677.1079550521098,0.9520655717054198,0.9201092861756998,0.04583333333333333,33,720,110.89031386645746,133.0956994156312,0,0
0.55,stable_rate,6.720692320247038e-05,0.00011880874799567665,0.9957456001773796,0.9929093336289659,0.019444444444444445,14,720,2.0317309320772615e-05,3.684945472591534e-05,6,6
0.55,EOL_raw,-414.20197555085184,-621.6047704202696,0.9464158141333918,0.9106930235556531,0.0625,45,720,195.96638085545655,304.44199161190227,0,0
0.6,stable_rate,5.131334279499418e-05,0.0001015377909547043,0.9936612209568391,0.9894353682613984,0.025,18,720,2.3799774333820544e-05,4.268344652388967e-05,6,6
0.6,EOL_raw,-328.5480826683614,-521.3074139837223,0.9383078365437569,0.8971797275729282,0.07361111111111111,53,720,288.1641222274304,501.61927170792416,1,1
