predictor,response,rho,p,N_policy_positions
A,rate_response,0.6667366910003157,0.14808979944035283,6
A,IR_slope_median,0.9276336570439174,0.007665844187473178,6
A,Tavg_median,0.8406680016960504,0.036057572845159175,6
A,charge_time_median,-0.4058397249567139,0.42466250756136437,6
D_50,rate_response,0.3714285714285715,0.4684781341107872,6
D_50,IR_slope_median,-0.14285714285714288,0.7871720116618076,6
D_50,Tavg_median,-0.08571428571428573,0.8717434402332361,6
D_50,charge_time_median,0.8857142857142858,0.01884548104956266,6
E_H_50,rate_response,0.3714285714285715,0.4684781341107872,6
E_H_50,IR_slope_median,-0.14285714285714288,0.7871720116618076,6
E_H_50,Tavg_median,-0.08571428571428573,0.8717434402332361,6
E_H_50,charge_time_median,0.8857142857142858,0.01884548104956266,6
IR_slope_median,rate_response,0.48571428571428577,0.3287230320699708,6
Tavg_median,rate_response,0.7714285714285715,0.07239650145772594,6
charge_time_median,rate_response,-0.028571428571428574,0.9571545189504373,6
