candidate,mean_battery_MSE,best_candidate,best_SE,one_SE_threshold,eligible_one_SE,selected_one_SE
PERSIST_ONLY,4.9862897079197686e-06,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
OLS_ONLY,2.85496492931105e-07,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,True,False
TS_ONLY,2.797118619952076e-07,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,True,True
D_ONLY,4.5297669202646363e-07,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
M1,4.078617288828504e-06,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
M1D,4.698919895536654e-06,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
M1D2,2.982998992803269e-06,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
M2,3.400135217276329e-07,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,True,False
M2D,4.0882881778762644e-07,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
M3,3.5429080228065038e-06,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,False,False
M4,3.577843230671354e-07,TS_ONLY,9.92713984118607e-08,3.789832604070683e-07,True,False
