baseline,length,MAE,RMSE,MAE_pp,RMSE_pp,MAPE_percent,SOH_relative_agreement_percent,R2,E200_median,E200_q90,battery_RMSE_median,battery_RMSE_q90,battery_RMSE_max
PERSIST,50,0.005409714735044822,0.00778419263811278,0.5409714735044823,0.778419263811278,0.5488602034848176,99.45113979651518,0.36038542912600213,0.0048739558654409265,0.010854903596944365,0.003997090474957287,0.008236870843265971,0.02827095042716049
OLS,50,0.0034319267889164743,0.004162240407779066,0.34319267889164745,0.4162240407779066,0.34622721884525204,99.65377278115474,0.8171287131944525,0.0038350707529372086,0.007733017504633989,0.0029878764592666295,0.005967695997591599,0.01199961059046599
TS,50,0.0033386853680609676,0.0040562697357293094,0.33386853680609674,0.4056269735729309,0.3368583595450932,99.66314164045491,0.826321982506766,0.003788871922380588,0.007763215264132187,0.0029432351927052933,0.005535972497659667,0.011947795139019448
D,50,0.0030033359376809778,0.0038590322041287665,0.30033359376809776,0.38590322041287667,0.303821153791904,99.6961788462081,0.8428016423693105,0.0031516549898859547,0.008156649954308072,0.0026019769935566794,0.005763262082385907,0.011510348603205331
PERSIST,75,0.004632160293969843,0.006613631799034955,0.4632160293969843,0.6613631799034956,0.4698626281967973,99.5301373718032,0.5382879340105845,0.004325275899070002,0.010193201840655385,0.003311088532127102,0.007588249933993265,0.02348871771612119
OLS,75,0.0015936780421403624,0.0023623296705714706,0.15936780421403623,0.23623296705714705,0.16140681612542915,99.83859318387456,0.9410922807937135,0.0016268510394773505,0.004690009411536471,0.0012136330900295094,0.0038867869230559625,0.007419798961717944
TS,75,0.0015154050199445307,0.0023146888071121034,0.15154050199445307,0.23146888071121033,0.15338977412697113,99.84661022587304,0.9434442948265492,0.0016433567563780005,0.004725816119710673,0.0010038902919077461,0.003905192167962117,0.007420804306793004
D,75,0.0014548695199792959,0.0021631716365405384,0.14548695199792958,0.21631716365405385,0.14724867074523612,99.85275132925476,0.9506061181761273,0.0014666990028835425,0.004524228113530671,0.0010896514636889497,0.0031610105375706426,0.007316075652731328
PERSIST,100,0.003723273909103226,0.005271701337032107,0.3723273909103226,0.5271701337032108,0.37757661339244974,99.62242338660755,0.7066454732535812,0.0036867373025251116,0.00917513208434427,0.002765197940886474,0.006595370706335747,0.01810603737176868
OLS,100,0.0010421353519793537,0.0015402303811912084,0.10421353519793537,0.15402303811912085,0.10526609830089026,99.89473390169911,0.9749583714092859,0.0011296708474656247,0.0038352178802147376,0.0007687593036958605,0.002468449437231634,0.004818064906759247
TS,100,0.0010616601930698375,0.0015779686366383318,0.10616601930698376,0.1577968636638332,0.1072574172083704,99.89274258279163,0.9737162133858476,0.001057550387306816,0.003874324073712966,0.0007721341794570083,0.00249839231218345,0.004959753295976019
D,100,0.0009877411088928718,0.0016882097570039183,0.09877411088928718,0.16882097570039184,0.09986360851935959,99.90013639148064,0.9699154160020602,0.0007807301418928381,0.003969621189957654,0.0005097451987657911,0.002516391415651335,0.005829782063786919
PERSIST,125,0.002783526290700856,0.0038395447687796687,0.27835262907008557,0.38395447687796685,0.2821012396122037,99.7178987603878,0.8443852819305278,0.0030680949996739204,0.008290865064516022,0.00211581882920844,0.005256401808439367,0.012694445921045539
OLS,125,0.0010220015768015994,0.0012281139620210256,0.10220015768015994,0.12281139620210256,0.10293962724605167,99.89706037275394,0.9840790662140614,0.0013471429744409402,0.0023825281090173907,0.001016437050676118,0.001611868914701962,0.002840400466567484
TS,125,0.0010225323241378104,0.0012288415947684542,0.10225323241378104,0.12288415947684542,0.10299213840685396,99.89700786159315,0.9840601949611167,0.0013897450753619922,0.002292223863309029,0.0010348942310700812,0.0016755746584058914,0.0029227951615460874
D,125,0.0010591098791707862,0.0012694958644999944,0.10591098791707862,0.12694958644999943,0.10663945359868068,99.89336054640133,0.98298806245747,0.0014654268284274852,0.0023994379884174524,0.001023369354047865,0.0016786916443026305,0.0031663517199713824
PERSIST,150,0.0014876550676553785,0.0022330001585131537,0.14876550676553785,0.22330001585131537,0.15077878223545982,99.84922121776454,0.9473657175763651,0.0020818007979725994,0.00669838886709493,0.0012282384068957658,0.003472816993280083,0.007133248894255233
OLS,150,0.00034618871897408034,0.0005343187184921608,0.03461887189740803,0.053431871849216085,0.034912941701282785,99.96508705829872,0.9969863558035896,0.00037108215375430964,0.001158589173151359,0.0002686558324495657,0.0006557180425465176,0.00180170118957825
TS,150,0.00034332514014193734,0.000528877927309514,0.03433251401419374,0.0528877927309514,0.03461913407554525,99.96538086592446,0.9970474172172321,0.0003948649074365096,0.0010555699590490963,0.0002766028831234877,0.0006378702954422575,0.0018414410681764977
D,150,0.00041184072769212565,0.0006730354314792525,0.041184072769212564,0.06730354314792525,0.04147125701042494,99.95852874298957,0.995218468132412,0.00047588892218014545,0.0015428968148558098,0.0003395036241289918,0.0007211127151059595,0.002895258993973127
