channel,family,formal_relation_retained,battery_id,life_q3,predicted_life_mean,true_life_mean,error
IR,PERSIST,False,2,1651.3419203432024,0.017050610064506356,0.0171016934490662,-5.108338455984268e-05
IR,PERSIST,False,5,1085.9829542235104,0.01733169721915286,0.0173730390550459,-4.134183589304258e-05
IR,PERSIST,False,9,765.8241423877081,0.017457012476501305,0.0182922469518072,-0.000835234475305896
IR,PERSIST,False,10,1742.4695936768103,0.015226469681974743,0.0153010837331349,-7.46140511601566e-05
IR,PERSIST,False,11,2753.953590939959,0.015059345032316625,0.0152176626817326,-0.0001583176494159757
IR,PERSIST,False,14,1974.8853047138623,0.015128461581518987,0.0152648863094556,-0.00013642472793661334
IR,PERSIST,False,16,924.0882851550838,0.013905453951298708,0.0143967801201201,-0.0004913261688213912
IR,PERSIST,False,24,1797.6719339483757,0.015531461528921027,0.0155812685682614,-4.980703934037364e-05
IR,PERSIST,False,25,1805.1002101983715,0.015317048996675898,0.0153314431325596,-1.4394135883702766e-05
Tavg,PERSIST,False,2,1651.3419203432024,31.151045671379293,31.5492130949076,-0.3981674235283066
Tavg,PERSIST,False,5,1085.9829542235104,32.026435586998524,32.1549737009787,-0.12853811398017712
Tavg,PERSIST,False,9,765.8241423877081,32.003491645256,32.2842284021125,-0.28073675685649846
Tavg,PERSIST,False,10,1742.4695936768103,32.56742988210951,33.1015310495823,-0.5341011674727909
Tavg,PERSIST,False,11,2753.953590939959,35.12016305805089,36.1809017963529,-1.0607387383020068
Tavg,PERSIST,False,14,1974.8853047138623,32.557105291822886,32.9485474141625,-0.39144212233961184
Tavg,PERSIST,False,16,924.0882851550838,34.24009108762088,35.1956998849954,-0.9556087973745164
Tavg,PERSIST,False,24,1797.6719339483757,33.58756585238313,34.2253189468104,-0.6377530944272678
Tavg,PERSIST,False,25,1805.1002101983715,35.2349637071884,36.2924566578661,-1.0574929506776982
ChargeTime,PERSIST,False,2,1651.3419203432024,13.421501226529486,13.3700453282399,0.05145589828958563
ChargeTime,PERSIST,False,5,1085.9829542235104,13.419756560773477,13.6804953856609,-0.2607388248874223
ChargeTime,PERSIST,False,9,765.8241423877081,10.036228809834618,13.1452157864793,-3.1089869766446814
ChargeTime,PERSIST,False,10,1742.4695936768103,10.042473234788014,10.1554366633597,-0.1129634285716854
ChargeTime,PERSIST,False,11,2753.953590939959,10.041293573590131,10.1429989124294,-0.10170533883926858
ChargeTime,PERSIST,False,14,1974.8853047138623,10.045928324894701,10.2384849761222,-0.19255665122749832
ChargeTime,PERSIST,False,16,924.0882851550838,10.160081646825457,10.8382723823823,-0.6781907355568428
ChargeTime,PERSIST,False,24,1797.6719339483757,10.041867976455274,10.2485632672112,-0.20669529075592585
ChargeTime,PERSIST,False,25,1805.1002101983715,11.04102816482008,11.1423314253717,-0.10130326055161909
