battery_id,policy,SOH_recent_slope,future_slope,delta_slope,model,complexity_order,predicted_delta_slope,predicted_future_slope,future_slope_error,observed_accelerating,predicted_accelerating
1,3_6C-80PER_3_6C,-4.0606156694729854e-05,-7.82943969526162e-05,-3.768824025788634e-05,Direct_zero_delta,0,0.0,-4.0606156694729854e-05,3.768824025788634e-05,True,False
3,3_6C-80PER_3_6C,-2.1001713251127774e-05,-1.9112765094399608e-05,1.8889481567281659e-06,Direct_zero_delta,0,0.0,-2.1001713251127774e-05,-1.8889481567281659e-06,False,False
4,80PER_3_6C,-0.00018836993360228294,-0.0002073875980764402,-1.9017664474157254e-05,Direct_zero_delta,0,0.0,-0.00018836993360228294,1.9017664474157254e-05,True,False
6,80PER_3_6C,-3.280403665257621e-05,-4.881794610831753e-05,-1.6013909455741318e-05,Direct_zero_delta,0,0.0,-3.280403665257621e-05,1.6013909455741318e-05,True,False
7,4_8C_80PER_4_8C,-6.221785154494341e-05,-0.00010145647905697719,-3.923862751203378e-05,Direct_zero_delta,0,0.0,-6.221785154494341e-05,3.923862751203378e-05,True,False
8,4_8C_80PER_4_8C,-0.00012522388687608021,-0.00016229021435307245,-3.7066327476992234e-05,Direct_zero_delta,0,0.0,-0.00012522388687608021,3.7066327476992234e-05,True,False
12,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.861206412198938e-05,-4.861610004938214e-05,-2.000403592739276e-05,Direct_zero_delta,0,0.0,-2.861206412198938e-05,2.000403592739276e-05,True,False
13,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.7753226406200394e-05,-4.1651519849028595e-05,-1.3898293442828201e-05,Direct_zero_delta,0,0.0,-2.7753226406200394e-05,1.3898293442828201e-05,True,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.9886602846629316e-05,-5.618750127082835e-05,-1.6300898424199033e-05,Direct_zero_delta,0,0.0,-3.9886602846629316e-05,1.6300898424199033e-05,True,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.4516731424334236e-05,-1.702810307235847e-05,-2.5113716480242335e-06,Direct_zero_delta,0,0.0,-1.4516731424334236e-05,2.5113716480242335e-06,True,False
18,5C_67PER_4C_NEWSTRUCTURE,-3.287205360188248e-05,-3.482360819932288e-05,-1.9515545974403958e-06,Direct_zero_delta,0,0.0,-3.287205360188248e-05,1.9515545974403958e-06,True,False
19,5_3C_54PER_4C_NEWSTRUCTURE,-1.7900953486493788e-05,-2.115135689224295e-05,-3.2504034057491615e-06,Direct_zero_delta,0,0.0,-1.7900953486493788e-05,3.2504034057491615e-06,True,False
20,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.0864817735222196e-05,-3.073740461197135e-05,-9.872586876749153e-06,Direct_zero_delta,0,0.0,-2.0864817735222196e-05,9.872586876749153e-06,True,False
21,5_6C_19PER_4_6C_NEWSTRUCTURE,-4.3507061911515033e-05,-5.035231887320699e-05,-6.845256961691955e-06,Direct_zero_delta,0,0.0,-4.3507061911515033e-05,6.845256961691955e-06,True,False
22,5_6C_36PER_4_3C_NEWSTRUCTURE,-1.923933691910002e-05,-2.386457349048182e-05,-4.625236571381798e-06,Direct_zero_delta,0,0.0,-1.923933691910002e-05,4.625236571381798e-06,True,False
23,5_6C_19PER_4_6C_NEWSTRUCTURE,-4.158579212754088e-05,-4.877220545190004e-05,-7.186413324359163e-06,Direct_zero_delta,0,0.0,-4.158579212754088e-05,7.186413324359163e-06,True,False
26,5_3C_54PER_4C_NEWSTRUCTURE,-3.33461302546711e-05,-3.344272757060075e-05,-9.65973159296489e-08,Direct_zero_delta,0,0.0,-3.33461302546711e-05,9.65973159296489e-08,True,False
27,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.9282661477566e-05,-4.289220242283319e-05,-1.3609540945267192e-05,Direct_zero_delta,0,0.0,-2.9282661477566e-05,1.3609540945267192e-05,True,False
28,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.351899371624538e-05,-4.1997178296785896e-05,-8.478184580540518e-06,Direct_zero_delta,0,0.0,-3.351899371624538e-05,8.478184580540518e-06,True,False
29,5C_67PER_4C_NEWSTRUCTURE,-2.904893174246245e-05,-3.770510259742059e-05,-8.656170854958138e-06,Direct_zero_delta,0,0.0,-2.904893174246245e-05,8.656170854958138e-06,True,False
30,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.0001473357961005602,-0.000149758925799014,-2.4231296984538137e-06,Direct_zero_delta,0,0.0,-0.0001473357961005602,2.4231296984538137e-06,True,False
31,5C_67PER_4C_NEWSTRUCTURE,-2.9766028864807225e-05,-4.0524055818407554e-05,-1.075802695360033e-05,Direct_zero_delta,0,0.0,-2.9766028864807225e-05,1.075802695360033e-05,True,False
