draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
1,2.0640836912862782e-05,2.202733169705353e-05,1.3864947841907475e-06
2,1.8329465666912833e-05,2.1768326079582703e-05,3.4388604126698703e-06
3,2.1094863318100024e-05,2.3096133894641628e-05,2.0012705765416037e-06
4,2.4579862830841358e-05,2.0121362860569455e-05,-4.458499970271903e-06
5,1.8727240199786695e-05,1.9606050730411064e-05,8.78810530624369e-07
6,1.8218733076200662e-05,2.1856956616647284e-05,3.6382235404466223e-06
7,1.5824177429468154e-05,1.945485593293059e-05,3.630678503462437e-06
8,2.1798853759224434e-05,2.1991463650204703e-05,1.9260989098026927e-07
9,2.3903995664389347e-05,2.3982155432008347e-05,7.815976761900046e-08
10,2.5653169554314057e-05,2.2770788925713027e-05,-2.8823806286010293e-06
11,2.0582309637361196e-05,2.1820918749913853e-05,1.2386091125526571e-06
12,1.969871677106721e-05,2.092878653937687e-05,1.23006976830966e-06
13,2.2123728973772894e-05,2.1648343367363195e-05,-4.7538560640969906e-07
14,1.5335967620606404e-05,1.6284588620949395e-05,9.486210003429912e-07
15,1.851198429666237e-05,2.147222681526774e-05,2.960242518605369e-06
16,2.240999198425463e-05,2.165208733284937e-05,-7.579046514052595e-07
17,1.7316137032589867e-05,1.9527635718022557e-05,2.21149868543269e-06
18,1.9172489589787472e-05,2.1128325495737336e-05,1.9558359059498637e-06
19,1.922666859153156e-05,1.864400231764811e-05,-5.826662738834489e-07
20,1.971877556951762e-05,2.0637433587163653e-05,9.18658017646031e-07
21,1.9897561164234966e-05,1.9831301315435697e-05,-6.625984879926933e-08
22,2.498392655524195e-05,2.1738886257489205e-05,-3.245040297752745e-06
23,2.603476356850094e-05,2.205821744442853e-05,-3.976546124072411e-06
24,1.8794986037436973e-05,2.175219787183653e-05,2.9572118343995554e-06
25,2.362704192177326e-05,2.2130945602582195e-05,-1.4960963191910642e-06
26,2.0045030166430682e-05,2.1444733298371007e-05,1.3997031319403243e-06
27,2.059113300083846e-05,2.2394796308319932e-05,1.8036633074814707e-06
28,2.1820288191885003e-05,2.0557414793248827e-05,-1.2628733986361756e-06
29,2.365430123859343e-05,1.886984833844927e-05,-4.7844529001441594e-06
30,2.07477312200793e-05,2.2438646008195906e-05,1.6909147881166043e-06
31,1.4805337040526678e-05,1.974552579242208e-05,4.940188751895404e-06
32,1.7809479904006208e-05,1.8600143214320545e-05,7.906633103143365e-07
33,1.9997493396144137e-05,1.9148794691061018e-05,-8.486987050831192e-07
34,2.15978642077274e-05,1.9391399729164094e-05,-2.2064644785633066e-06
35,1.6819841656322148e-05,1.7121150913842303e-05,3.013092575201553e-07
36,2.0777300465330237e-05,1.887026950894475e-05,-1.9070309563854861e-06
37,1.7316137032589867e-05,1.9527635718022557e-05,2.21149868543269e-06
38,2.1703379277886487e-05,2.389159317790979e-05,2.188213900023304e-06
39,1.9192309166085957e-05,1.9650811594327662e-05,4.585024282417058e-07
40,1.8795833427636297e-05,1.98217533652534e-05,1.025919937617102e-06
41,2.2458898670925125e-05,2.0229017919084428e-05,-2.229880751840697e-06
42,2.0197610929756555e-05,2.1482221746313208e-05,1.284610816556653e-06
43,2.058592052982483e-05,2.071281297593891e-05,1.268924461140779e-07
44,1.92686442904394e-05,2.184851739951075e-05,2.57987310907135e-06
45,1.928786616181375e-05,1.864901126232529e-05,-6.388548994884601e-07
46,2.01856805756607e-05,1.8327989663877825e-05,-1.8576909117828734e-06
47,1.5477362681915378e-05,1.9180923501351884e-05,3.7035608194365056e-06
48,2.1558640541121347e-05,1.991319299908336e-05,-1.6454475420379871e-06
49,2.1426466371150863e-05,2.0704006077589773e-05,-7.2246029356109e-07
50,1.8898985982628267e-05,1.712758612428931e-05,-1.7713998583389587e-06
51,1.8980911799032718e-05,2.416990633900332e-05,5.188994539970603e-06
52,1.8973826079725562e-05,1.9489237414240566e-05,5.154113345150037e-07
53,1.8013059286009965e-05,2.0821736320331285e-05,2.8086770343213205e-06
54,1.9306804577529216e-05,2.1150323022673496e-05,1.8435184451442803e-06
55,1.7858174503919873e-05,2.1707939841955082e-05,3.849765338035209e-06
56,1.9995711543491758e-05,1.8691017609278067e-05,-1.30469393421369e-06
57,2.0431949217858247e-05,2.411414021875481e-05,3.682191000896563e-06
58,1.809441459183201e-05,2.2633702097832677e-05,4.5392875060006676e-06
59,1.952201472816083e-05,1.869395368783886e-05,-8.280610403219698e-07
60,1.7133925692104845e-05,2.03865453248431e-05,3.2526196327382553e-06
